70,8.49E+17, Mon Apr 03 18:36:40 +0000 2017,1.49E+12, would like to buy some acetaminophen go home and sleep,  acetaminophen,3461581642, clareaty, because theres somewhere i want to go,0,0,16, None, None
543,8.49E+17, Wed Apr 05 04:08:09 +0000 2017,1.49E+12, why i make brandon cuddle me when i have a headache. 10x more effective than acetaminophen  ,  acetaminophen,251932900, Vivsterrr04, concord university alumni  shepherd university nursing  cna  forever a runner  bsl,0,0,400, Charles Town: WV, None
133,8.27E+17, Fri Feb 03 01:14:39 +0000 2017,1.49E+12, i just took a acetaminophen ,  acetaminophen,4867689869, tyisha_p, @shopisonomy,0,0,530, buffalo., None
203,8.27E+17, Fri Feb 03 05:19:57 +0000 2017,1.49E+12, stick to acetaminophen e.g. tylenol during a cold or flu. common nsaids may cause heart attacks 6year study. ,  acetaminophen,16890683, jonathanblaine, solutionsfocused leader analytical and strategic integrated marketing expert  change manager. jonathan blaine  atlanta,0,0,162, Atlanta GA, None
194,8.28E+17, Sat Feb 04 05:39:52 +0000 2017,1.49E+12,  is your friend. menstrual relief med. acetaminophen with caffeine. otc. not controlled.  re ,  acetaminophen,325722378, JRoadsreal, hockey is my 1. sioux yeah yeah lets go wild skol vikings back in minnesota and not leaving anytime soon.,0,0,2024, Minneapolis: Minnesota, None
261,8.28E+17, Sat Feb 04 14:43:31 +0000 2017,1.49E+12, nsaids and acetaminophen are only weakly effective for spinal pain.  ,  acetaminophen,65543768, pharmacopsych, board certified psychiatric pharmacist  educator  researcher my posts only reflect my interests and are not anyones official opinion or position,0,0,347, San Antonio: Texas, None
238,8.29E+17, Wed Feb 08 05:14:38 +0000 2017,1.49E+12, confidentially  twitter  ive been taking so much acetaminophen  ibuprofen  and naproxen  im just struggling not to throw up lately.,  acetaminophen,17088295, emilyst, soft  thick  pillowy  and luxurious. cavalier queer. i  hacks  cracks  and snacks. candid. like some kind of nave robot learning to love. mostly bad tweets.,0,0,480, Portland: OR, None
888,8.30E+17, Thu Feb 09 23:50:43 +0000 2017,1.49E+12, i lace my blunts with acetaminophen,  acetaminophen,1159339789, illiestALIVE, lokey  dont forget the name.   instagram loganpijaszek snapchat pjloganpj  creeping encouraged,0,0,377, Bay City: MI, None
281,8.30E+17, Sat Feb 11 09:16:13 +0000 2017,1.49E+12, ... it probably wouldve been a good idea to check if acetaminophen  codeine  prozac  cleocin  zyrtec  and melatonin had interactions...,  acetaminophen,7395002, PearlGreyMusic, riko || 23. lost in the future. smol bean that makes stuff. makin vr raves at @thewavevr. @toukufm content manager. i really love cute things.,0,0,822, ATX, None
650,8.31E+17, Sun Feb 12 20:46:45 +0000 2017,1.49E+12, andy is home now. his fever went down to about 100f with tamiflu and a combination of ibuprofen and acetaminophen. thank you for prayers,  acetaminophen,2484676034, BrkPrsn, nothing i say or do is real,0,0,644, Marshall College of Law, None
780,8.31E+17, Mon Feb 13 07:53:32 +0000 2017,1.49E+12, ive been an acetaminophen  robitusin and multivitamin user for many  many years and this is first time i am sober and shes my rock,  acetaminophen,86888909, jpandino, babalawo  essh connoisseur  healer.,0,0,671, chicago, None
818,8.32E+17, Thu Feb 16 03:26:10 +0000 2017,1.49E+12, briefmayne pharma launches butalbital acetaminophen tablets in the u.s.,  acetaminophen,920051202, HCSMnews, healthcare communications  social media news. live healthcare conf highlights  hcsm  tedmed medtech pharma bchc cdnhealth,0,0,15809, Vancouver: BC: Canada, None
871,8.32E+17, Thu Feb 16 06:39:02 +0000 2017,1.49E+12, okay srsly though his much acetaminophen is too much acetaminophen,  acetaminophen,1733192557, abs_ks, this isnt over,0,0,95, LFK: ICT, None
872,8.32E+17, Thu Feb 16 06:39:55 +0000 2017,1.49E+12, okay srsly though how much acetaminophen is too much acetaminophen,  acetaminophen,1733192557, abs_ks, this isnt over,0,0,95, LFK: ICT, None
1831,8.34E+17, Mon Feb 20 03:25:24 +0000 2017,1.49E+12, really in need of some acetaminophen ,  acetaminophen,344828342, sydney_stowell, proud member of patriots nation i am not a bandwagoner,0,0,503, hoosick falls '17 , None
2138,8.34E+17, Tue Feb 21 03:36:46 +0000 2017,1.49E+12, i know i react to ibuprofen.. but acetaminophen betrayed me this time. ,  acetaminophen,419813447, yesitrevizo, ,0,0,193, Denver: CO, None
348,8.35E+17, Thu Feb 23 15:48:00 +0000 2017,1.49E+12, destinedtobeyoursin4days   extra strength acetaminophen and a whole lot of remy martin can do the trick too ,  acetaminophen,43747593, bdng, none,0,0,1109, Pinole CA , None
406,8.35E+17, Thu Feb 23 18:26:02 +0000 2017,1.49E+12, picked up some acetaminophen  just in case. ,  acetaminophen,407256888, johnnydigit, futurist daydreamer by nature. environmentalist and social justice advocate by logial extension,0,0,186, Sutton: QuÌÎå©bec, None
889,8.35E+17, Fri Feb 24 19:13:29 +0000 2017,1.49E+12, @mdappeal weve got a bottle of acetaminophen with a sticker on the lid warning us that it contains acetaminophen,  acetaminophen,28276398, theinhold, tracey heinhold keith  dog mom  wife  aunt of two awesome nephews  brain full of useless information. writer  lawyer  pessimist.   may mean like or hate.,0,0,611, Las Vegas: Nevada, None
1318,8.36E+17, Sat Feb 25 23:16:56 +0000 2017,1.49E+12, ive developed an allergy to acetaminophen yall should she my face rn,  acetaminophen,2347450902, micalahcurry, princess thickness,0,0,706, Dallas: TX, None
1816,8.36E+17, Mon Feb 27 13:55:01 +0000 2017,1.49E+12, @juniusk9 alas weed and acetaminophen are the only two non opiates i have for pin relief. neither is perfect by a long shot.,  acetaminophen,14880882, rubberzebra, squeaky cuddly party animal occ. nsfw likes trancing for fun,0,0,1205, wet rock, None
47,8.39E+17, Mon Mar 06 20:19:54 +0000 2017,1.49E+12, there is not enough acetaminophen in the world for today.. ,  acetaminophen,32155211, CallMeAllison, sdstate  axid alumna. patriot enthusiast. poppunk advocate. jesses girl. former sherard. muggle. 92.5 cool mom.,0,0,283, South Dakota , None
513,8.39E+17, Wed Mar 08 04:02:46 +0000 2017,1.49E+12, @rxbun acetaminophen is my best friend,  acetaminophen,466790242, Jee_vuh, staff writer @theweek   for @electriclit   for @screenslate.  asyndetons  slow cinema  dolly back  fade to black.,0,0,2756, seattle ‰Û¡ÌÝå¢ bennington ‰Û¡ÌÝå¢ queens, None
740,8.40E+17, Wed Mar 08 22:46:42 +0000 2017,1.49E+12, 2000mg total of acetaminophen and not a damn one of them could do anything about my headache,  acetaminophen,558281904, Corinnesteinn, were here to burgle your turts ,0,0,108, None, None
